,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,label
0,23.39702962,-1.564071437,5.258373966,-0.658775413,0.776034563,-0.806783079,1.810721229,1.892033327,1.950155174,-1.503047975,-0.42423652,0.286883345,1.617053543,0.285302558,-1.009853221,1.551454365,0.105358425,-0.147214668,-2.991808451,0.867167134,-0.473134092,1.134912119,-0.141296779,-2.409843099,-1.257405636,0.685530165,0.015663378,2.39945768,0.140371723,-0.873134169,3.38954379,-0.559947513,0.618926953,-0.722281115,-0.600899567,1.335098997,0.628467887,1.786441213,-0.617206989,1.33467192,-0.579473436,-0.001382458,1
1,3.101293849,0.011129632,3.246911688,3.799726872,-0.177739381,5.832528854,6.231666922,-0.850429434,-2.773133546,0.390877078,0.403604361,-1.159033949,1.41411069,0.311633417,1.679736153,-0.684500449,-0.88093585,2.570058743,0.817578349,-0.785909234,-1.354981015,2.179588911,-0.017536064,2.017971892,2.049872968,-2.430136,-0.478296061,1.881941864,-1.015251261,-1.749327483,0.065904747,1.102167773,-1.028582913,-1.575709872,0.038414697,-0.954665158,0.092003558,-0.085615315,-0.135506451,1.748361998,-1.468776717,1.092585709,1
2,-1.297018889,-0.183328489,-0.924042413,3.75882783,-5.203579272,-0.641297634,4.34771973,-0.321642654,1.716934665,1.837005261,2.420889715,-0.349344867,0.919037344,-1.059960685,0.841294396,2.643367249,-0.340984666,2.708636226,0.37492645,-0.727479964,-0.09674694,0.08381232,1.638901361,-0.072603303,-1.019625146,0.333263126,-0.087972836,-0.251996324,-0.53658877,0.865082622,0.690818952,0.192441343,-0.04640793,0.392830478,-1.420512727,0.680846141,-0.167907664,-0.197027121,-0.817932507,0.125948486,1.438251479,1.61869803,1
3,-4.293286621,-3.166524151,0.814621337,4.215511155,-7.765826749,-2.327955889,3.559740045,-0.083368719,0.743102597,0.568470322,0.119279305,-0.125310103,1.390503405,-0.242104687,0.896852492,3.017688031,-1.060600802,0.765229751,0.648776928,-1.046824716,-0.473911089,-0.893305295,0.714883089,0.401255461,-0.961542821,0.901155057,0.749654096,-1.211567469,-1.257911374,-0.410881797,-0.273672195,0.226365535,-1.071352067,0.994557969,-0.935762855,1.53189112,-1.30953938,1.427799608,0.018477015,0.839385194,1.551967536,0.090778887,1
4,15.58407886,0.711499911,-3.86991315,-1.194820493,-1.331875775,1.726037468,-0.27587417,0.835501818,1.664800614,-1.168822715,-0.012604097,-0.749493343,0.026111459,1.478884576,-1.493676945,1.255031866,1.357110334,-1.220369051,0.054500906,-1.663093521,0.291696291,-1.145114032,0.676165165,0.106750563,-0.869874109,-0.379966618,1.289232355,-1.267858203,0.192115725,1.116523917,0.905161966,-1.059458645,1.256230298,0.254341124,-0.329485815,0.563890254,-0.185555205,-0.087107496,-1.609625971,0.520715114,-0.083219869,-0.758983711,1
5,16.50691969,6.080379599,-5.16708193,-0.123076946,-2.289940154,-2.465850775,0.19294298,-1.064051415,-0.099626929,-0.884861741,0.265184204,0.558629106,0.245361673,-1.081041031,-1.210837787,0.737096219,0.40953982,-0.005260156,0.281380017,-1.349373265,-0.94021997,1.447915372,-1.091790739,-0.883684939,0.592446715,0.063825176,0.173922518,-0.143570879,0.579253151,-0.356276922,0.23951675,0.300766083,-0.206650719,0.542863643,-0.755148596,-0.403857684,0.094074643,0.039285276,1.113825147,-0.627888836,-1.1259357,-1.26299955,1
6,20.14105079,-7.626461298,-5.392303012,0.426292012,4.263470681,2.375869295,-1.367821086,-3.794366833,0.874016581,3.145588259,-0.977574133,-1.167523621,0.560523805,0.287051052,-1.173215081,-2.53436844,0.321772941,1.760272783,0.898854397,-1.141034854,-1.636690142,0.289123909,-0.583913145,-0.908161721,0.463760731,0.83264589,0.110850781,-0.181572741,0.439509756,0.341916221,0.097519594,1.001424705,0.353959048,0.196642617,1.055566046,-0.055561409,-0.341719892,0.890297867,-0.750095601,1.649800677,1.066780272,0.405305164,1
7,22.38724344,0.548687656,-3.88228131,2.042526092,-0.718220445,-0.105594087,1.316879672,-2.437198099,-1.89499441,-0.15367294,0.319559019,-0.178852835,1.806463891,1.750111045,-0.608648502,1.2213224,0.361064718,-0.993510899,0.839979236,-0.237647178,0.133838972,-0.399835485,-0.23528516,0.396002533,-0.450239052,1.186397383,0.255928606,0.957515946,0.218976736,-0.652827855,-0.080283817,0.129824049,-0.356394218,0.357620669,0.18360812,-0.069796152,0.246909229,0.433266183,0.395666749,0.395358057,-0.891559568,-0.534034295,1
8,21.84697423,1.138500416,-2.786074085,1.511309879,-1.103053721,0.202247448,2.169002913,-1.539407132,-1.326723481,-0.588982369,0.146853037,-0.621692818,1.436901229,1.925960415,-0.73547244,1.665276582,-0.351156483,-1.570922989,0.467583599,-0.284587936,0.175289984,-1.015116729,-0.376135258,0.20450167,-0.013042569,0.525623651,-0.358286001,1.62100237,0.847888535,-0.818953219,0.147362958,0.468234981,-0.234439554,0.452784099,-0.113039427,-0.474616142,0.093571761,-0.02691368,-0.141162818,-0.599165023,0.119883054,0.120633432,1
9,29.10989874,-5.614366849,4.807121993,-1.742301976,4.244280721,-3.24775276,2.266395972,-1.429751583,1.713971169,-0.262408953,-1.132399226,3.19217912,1.003699947,2.528847002,-1.408719329,1.922678295,2.455896092,2.743307709,0.759360511,0.006494031,1.079547494,-0.185224465,0.717257531,-0.524896872,0.241684821,-0.221686701,2.15592301,0.367656862,1.178371484,1.049714848,0.718693545,-1.451176317,-0.054017184,-0.068418039,0.118898805,2.219269141,0.148074192,0.898473563,-0.44828345,-0.580329545,-0.404491038,-0.239597198,1
